"nut","nuTilda","p","wallShearStress:0","wallShearStress:1","wallShearStress:2","U:0","U:1","U:2","arc_length","Points:0","Points:1","Points:2"
0,0,-0.19912,-0.0037003,9.3606e-22,0.0003279,0,0,0,1.2005,0.16419,-0.5,-0.054793
0,0,-0.19773,-0.0036606,9.3721e-22,0.00029503,0,0,0,1.2093,0.17292,-0.5,-0.055523
0,0,-0.19616,-0.0036204,2.8354e-27,0.00026383,0,0,0,1.2182,0.18185,-0.5,-0.056199
0,0,-0.19443,-0.0035796,4.3871e-22,0.00023424,0,0,0,1.2274,0.19098,-0.5,-0.056823
0,0,-0.19253,-0.0035385,9.6323e-24,0.00020616,0,0,0,1.2367,0.20032,-0.5,-0.057392
0,0,-0.19048,-0.0034971,-4.293e-22,0.00017954,0,0,0,1.2463,0.20984,-0.5,-0.057906
0,0,-0.18829,-0.0034554,-4.1043e-22,0.0001543,0,0,0,1.256,0.21957,-0.5,-0.058364
0,0,-0.18597,-0.0034135,-4.1043e-22,0.00013038,0,0,0,1.2659,0.22949,-0.5,-0.058768
0,0,-0.18352,-0.0033714,3.9191e-22,0.00010772,0,0,0,1.276,0.23959,-0.5,-0.059114
0,0,-0.18095,-0.0033293,3.9202e-22,8.6271e-05,0,0,0,1.2863,0.24989,-0.5,-0.059405
0,0,-0.17827,-0.0032872,9.3646e-23,6.5978e-05,0,0,0,1.2968,0.26037,-0.5,-0.059638
0,0,-0.17548,-0.003245,1.848e-22,4.6792e-05,0,0,0,1.3075,0.27103,-0.5,-0.059815
0,0,-0.1726,-0.0032029,9.1237e-23,2.8666e-05,0,0,0,1.3183,0.28187,-0.5,-0.059935
0,0,-0.16963,-0.0031609,-1.0878e-23,1.1555e-05,0,0,0,1.3293,0.29289,-0.5,-0.059997
0,0,-0.16657,-0.003119,-1.0882e-23,-4.5823e-06,0,0,0,1.3405,0.30409,-0.5,-0.060002
0,0,-0.16343,-0.0030773,-1.0565e-26,-1.9788e-05,0,0,0,1.3519,0.31545,-0.5,-0.059951
0,0,-0.16022,-0.0030357,1.6121e-22,-3.4101e-05,0,0,0,1.3634,0.32699,-0.5,-0.059842
0,0,-0.15694,-0.0029944,1.6119e-22,-4.7558e-05,0,0,0,1.3751,0.33869,-0.5,-0.059677
0,0,-0.1536,-0.0029533,-7.3843e-26,-6.0198e-05,0,0,0,1.387,0.35055,-0.5,-0.059456
0,0,-0.1502,-0.0029124,-2.8264e-28,-7.2055e-05,0,0,0,1.399,0.36258,-0.5,-0.059178
0,0,-0.14675,-0.0028718,-2.8971e-22,-8.3162e-05,0,0,0,1.4112,0.37476,-0.5,-0.058845
0,0,-0.14324,-0.0028315,-2.8978e-22,-9.3555e-05,0,0,0,1.4236,0.38709,-0.5,-0.058457
0,0,-0.1397,-0.0027916,-2.7398e-22,-0.00010326,0,0,0,1.4361,0.39958,-0.5,-0.058014
0,0,-0.13611,-0.0027519,-7.6585e-24,-0.00011232,0,0,0,1.4487,0.41221,-0.5,-0.057516
0,0,-0.13249,-0.0027125,7.8324e-22,-0.00012076,0,0,0,1.4615,0.42499,-0.5,-0.056965
0,0,-0.12884,-0.0026735,1.5221e-23,-0.0001286,0,0,0,1.4744,0.43792,-0.5,-0.056361
0,0,-0.12515,-0.0026348,-5.0171e-22,-0.00013588,0,0,0,1.4875,0.45098,-0.5,-0.055705
0,0,-0.12144,-0.0025964,-4.7128e-22,-0.00014262,0,0,0,1.5007,0.46417,-0.5,-0.054997
0,0,-0.1177,-0.0025584,-4.7128e-22,-0.00014885,0,0,0,1.5141,0.4775,-0.5,-0.054238
0,0,-0.11394,-0.0025206,-4.4136e-22,-0.00015459,0,0,0,1.5276,0.49096,-0.5,-0.053429
0,0,-0.11016,-0.0024831,4.1154e-22,-0.00015988,0,0,0,1.5412,0.50454,-0.5,-0.05257
0,0,-0.10635,-0.0024459,1.2647e-21,-0.00016472,0,0,0,1.5549,0.51825,-0.5,-0.051662
0,0,-0.10253,-0.002409,4.1181e-22,-0.00016915,0,0,0,1.5688,0.53207,-0.5,-0.050706
0,0,-0.098677,-0.0023722,-7.6447e-22,-0.00017319,0,0,0,1.5827,0.54601,-0.5,-0.049703
0,0,-0.094806,-0.0023357,-7.6439e-22,-0.00017684,0,0,0,1.5968,0.56006,-0.5,-0.048654
0,0,-0.090912,-0.0022992,-1.4112e-21,-0.00018014,0,0,0,1.611,0.57422,-0.5,-0.047558
0,0,-0.086992,-0.0022629,-7.3522e-22,-0.0001831,0,0,0,1.6253,0.58849,-0.5,-0.046417
0,0,-0.083042,-0.0022265,1.3223e-21,-0.00018573,0,0,0,1.6398,0.60285,-0.5,-0.045232
0,0,-0.079059,-0.0021902,6.4614e-22,-0.00018805,0,0,0,1.6543,0.61732,-0.5,-0.044003
0,0,-0.075039,-0.0021537,5.493e-28,-0.00019006,0,0,0,1.6689,0.63188,-0.5,-0.042731
0,0,-0.070976,-0.002117,1.5728e-25,-0.00019178,0,0,0,1.6836,0.64653,-0.5,-0.041417
0,0,-0.066862,-0.00208,5.2445e-22,-0.00019321,0,0,0,1.6984,0.66126,-0.5,-0.04006
0,0,-0.062689,-0.0020426,1.0174e-21,-0.00019435,0,0,0,1.7133,0.67608,-0.5,-0.038662
0,0,-0.058451,-0.0020046,4.9312e-22,-0.00019513,0,0,0,1.7282,0.69098,-0.5,-0.037223
0,0,-0.054135,-0.0019729,4.2119e-22,-0.00019632,0,0,0,1.7433,0.70596,-0.5,-0.035744
0,0,-0.04972,-0.001941,8.0877e-22,-0.00019744,0,0,0,1.7584,0.72101,-0.5,-0.034224
0,0,-0.045195,-0.0019013,3.8769e-22,-0.00019759,0,0,0,1.7736,0.73613,-0.5,-0.032664
0,0,-0.040545,-0.0018596,-7.2348e-26,-0.00019735,0,0,0,1.7889,0.75131,-0.5,-0.031065
0,0,-0.035748,-0.0018093,2.8274e-22,-0.00019598,0,0,0,1.8042,0.76655,-0.5,-0.029426
0,0,-0.030786,-0.0017567,4.0766e-23,-0.00019403,0,0,0,1.8196,0.78186,-0.5,-0.027748
0,0,-0.025628,-0.0017085,-2.421e-22,-0.00019236,0,0,0,1.8351,0.79721,-0.5,-0.02603
0,0,-0.020235,-0.0016583,-5.4178e-26,-0.00019032,0,0,0,1.8506,0.81262,-0.5,-0.024273
0,0,-0.014571,-0.0016053,1.0342e-22,-0.00018777,0,0,0,1.8661,0.82807,-0.5,-0.022477
0,0,-0.0085853,-0.0015485,1.5294e-22,-0.00018459,0,0,0,1.8817,0.84357,-0.5,-0.020641
0,0,-0.0022264,-0.0014874,3.992e-23,-0.00018067,0,0,0,1.8974,0.8591,-0.5,-0.018765
0,0,0.0045853,-0.0014213,-9.5839e-24,-0.00017591,0,0,0,1.9131,0.87467,-0.5,-0.016848
0,0,0.011906,-0.0013487,-2.9709e-22,-0.00017006,0,0,0,1.9288,0.89027,-0.5,-0.014891
0,0,0.019911,-0.0012761,1.6248e-22,-0.00016395,0,0,0,1.9445,0.90589,-0.5,-0.012892
0,0,0.028566,-0.0011935,4.5959e-22,-0.00015624,0,0,0,1.9603,0.92154,-0.5,-0.010852
0,0,0.038461,-0.0011008,8.7525e-22,-0.00014693,0,0,0,1.9761,0.93721,-0.5,-0.0087697
0,0,0.048772,-0.0009816,-2.2167e-22,-0.00013339,0,0,0,1.992,0.95289,-0.5,-0.006644
0,0,0.062317,-0.00087576,3.9423e-22,-0.00012148,0,0,0,2.0078,0.96859,-0.5,-0.0044744
0,0,0.07371,-0.00064214,1.4912e-21,-0.00010055,0,0,0,2.0237,0.98429,-0.5,-0.00226
0,0,0.076416,-0.00043921,-6.5662e-38,-2.395e-08,0,0,0,2.0395,1,-0.5,0
